word,clue
litre,"a unit for measuring volume, equal to 1.76 British pints or 2.11 American pints"
litter,"small pieces of rubbish such as paper, cans and bottles, that people have left lying in a public place"
little,not big; small; smaller than others
live,living; not dead
lively,full of life and energy; active and enthusiastic
liver,a large organ in the body that cleans the blood and produces bile
living,alive now
load,"something that is being carried (usually in large amounts) by a person, vehicle, etc."
loan,money that an organization such as a bank lends and somebody borrows
lobby,a large area inside the entrance of a public building where people can meet and wait
local,belonging to or connected with the particular place or area that you are talking about or with the place where you live
locate,to find the exact position of somebody/something
located,"if something is located in a particular place, it exists there or has been put there"
location,a place where something happens or exists; the position of something
lock,"a device that keeps a door, window, box, etc. shut, usually needing a key to open it"
log,a thick piece of wood that is cut from or has fallen from a tree
logic,a way of thinking or explaining something
logical,"seeming natural, reasonable or sensible"
logo,a printed design or symbol that a company or an organization uses as its special sign
lonely,unhappy because you have no friends or people to talk to
long,"measuring or covering a great length or distance, or a greater length or distance than usual"
long-standing,that has existed or lasted for a long time
long-term,lasting or having an effect over a long period of time
long-time,having been the particular thing mentioned for a long time
look,an act of looking at somebody/something
loom,"to appear as a large shape that is not clear, especially in a frightening way"
loop,a shape like a curve or circle made by a line curving right round
loose,not securely fixed where it should be; able to become separated from something
lord,"(in the UK) a man of high rank in the nobility (= people of high social class), or somebody who has been given the title ‘lord’ as an honour"
lorry,a large vehicle for carrying heavy loads by road
lose,to be unable to find something/somebody
loss,the state of no longer having something or as much of something; the process that leads to this
lost,unable to find your way; not knowing where you are
lot,used with verbs to mean ‘a great amount’
lottery,"a way of raising money for a government, charity, etc. by selling tickets that have different numbers on them that people have chosen. Numbers are then chosen by chance and the people who have those numbers on their tickets win prizes."
loud,making a lot of noise
loudly,in a way that makes a lot of noise
love,"a very strong feeling of liking and caring for somebody/something, especially a member of your family or a friend"
lovely,beautiful; attractive
low,not high or tall; not far above the ground
lower,"to reduce something or to become less in value, quality, etc."
loyal,remaining constant in your support of somebody/something
loyalty,the quality of being constant in your support of somebody/something
luck,"good things that happen to you by chance, not because of your own efforts or abilities"
lucky,having good luck
lunch,a meal eaten in the middle of the day
lung,either of the two organs in the chest that you use for breathing
luxury,expensive and of very high quality
lyric,the words of a popular song
machine,"a piece of equipment with many parts that work together to do a particular task. The power used to work a machine may be electricity, steam, gas, etc. or human power."
machinery,"machines as a group, especially large ones"
mad,very stupid; not at all sensible
magazine,"a type of large thin book with a paper cover that you can buy every week or month, containing articles, photographs, etc., often on a particular topic; a similar collection of articles, etc. that appears regularly online"
magic,having or using special powers to make impossible things happen or seem to happen
magical,containing magic; used in magic
magistrate,an official who acts as a judge in the lowest courts of law
magnetic,behaving like a magnet; that can be attracted by a magnet
magnificent,extremely attractive and impressive; deserving praise
magnitude,the great size or importance of something; the degree to which something is large or important
mail,"the official system used for sending and delivering letters, packages, etc."
main,being the largest or most important of its kind
mainland,"the main area of land of a country or region, not including any islands near to it"
mainly,more than anything else; also used to talk about the most important reason for something
mainstream,considered normal because it reflects what is done or accepted by most people
maintain,"to make something continue at the same level, standard, etc."
maintenance,the act of keeping something in good condition by checking or repairing it regularly
major,very large or important
majority,the largest part of a group of people or things
make,"the name or type of a machine, piece of equipment, etc. that is made by a particular company"
make-up,coloured substances used on the skin to make yourself look more attractive or to change your appearance
making,the act or process of making or producing something
male,being a man or boy
mall,"a large building or covered area that has many shops, restaurants, etc. inside it"
man,an adult male human
manage,"to control or be in charge of a business, a team, an organization, land, etc."
management,the activity of running and controlling a business or similar organization
manager,"a person who is in charge of running a business, a shop or a similar organization or part of one"
mandate,"the authority to do something, given to a government or other organization by the people who vote for it in an election"
mandatory,required by law
manifest,"to show something clearly, especially a feeling, an attitude or a quality"
manipulate,"to control or influence somebody/something, often in a dishonest way so that they do not realize it"
manipulation,"behaviour that controls or influences somebody/something, often in a dishonest way so that they do not realize it"
manner,behaviour that is considered to be polite in a particular society or culture
manufacture,"to make goods in large quantities, using machines"
manufacturing,"the business or industry of producing goods in large quantities in factories, etc."
manuscript,"a copy of a book, piece of music, etc. before it has been printed"
many,"used with plural nouns and verbs, especially in negative sentences or in more formal English, to mean ‘a large number of’. Also used in questions to ask about the size of a number, and with ‘as’, ‘so’ and ‘too’."
map,"a drawing or plan of the earth’s surface or part of it, showing countries, towns, rivers, etc."
marathon,a long running race of about 42 kilometres or 26 miles
March,"the 3rd month of the year, between February and April"
margin,the empty space at the side of a written or printed page
marginal,small and not important
marine,connected with the sea and the creatures and plants that live there
mark,"a written or printed symbol that is used as a sign of something, for example the quality of something or who made or owns it"
marker,an object or a sign that shows the position of something
market,an occasion when people buy and sell goods; the open area or building where they meet to do this
marketing,"the activity of presenting, advertising and selling a company’s products or services in the best possible way"
marketplace,"the activity of competing with other companies to buy and sell goods, services, etc."
marriage,the legal relationship between two people who are married to each other
married,having a husband or wife
marry,to become the husband or wife of somebody; to get married to somebody
mask,"something that you wear over your face to hide it, or to frighten or entertain other people"
mass,affecting or involving a large number of people or things
massacre,the killing of a large number of people especially in a cruel way
massive,"very large, heavy and solid"
master,"a man who has people working for him, often as servants in his home"
match,a sports event where people or teams compete against each other
matching,"having the same colour, pattern, style, etc. and therefore looking attractive together"
mate,a friend
material,"connected with money, possessions, etc. rather than with the needs of the mind or spirit"
mathematical,connected with or involving mathematics
mathematics,"the science of numbers and shapes. Branches of mathematics include arithmetic, algebra, geometry and trigonometry."
maths,"mathematics, especially as a subject in school"
matter,"used (to ask) if somebody is upset, unhappy, etc. or if there is a problem"
mature,"behaving in a sensible way, like an adult"
maximize,to increase something as much as possible
maximum,"as large, fast, etc. as is possible, or the most that is possible or allowed"
May,"the fifth month of the year, between April and June"
maybe,used when you are not certain that something will happen or that something is true or is a correct number
mayor,"the head of the government of a town or city, etc., elected by the public"
me,"the form of I that is used when the speaker or writer is the object of a verb or preposition, or after the verb be"
meal,"an occasion when people eat food, especially breakfast, lunch or dinner"
mean,to have something as a meaning in the same or another language
meaning,"the thing or idea that a sound, word, sign, etc. represents"
meaningful,serious and important
means,"an action, an object or a system by which a result is achieved; a way of achieving or doing something"
meantime,for a short period of time but not permanently
meanwhile,while something else is happening
measure,an official action that is done in order to achieve a particular aim
measurement,"the act or the process of finding the size, quantity or degree of something"
meat,the soft part of an animal or a bird that can be eaten as food; a particular type of this
mechanic,"a person whose job is repairing machines, especially the engines of vehicles"
mechanical,operated by power from an engine
mechanism,a set of moving parts in a machine that performs a task
medal,"a flat piece of metal, usually like a coin in shape, that is given to the winner of a competition or to somebody who has been brave, for example in war"
media,"the main ways that large numbers of people receive information and entertainment, that is television, radio, newspapers and the internet"
medical,connected with illness and injury and their treatment
medication,a drug or another form of medicine that you take to prevent or to treat an illness; treatment involving drugs
medicine,the study and treatment of diseases and injuries
medieval,connected with the Middle Ages (about AD 1000 to AD 1450)
meditation,"the practice of focusing your mind in silence, especially for religious reasons or in order to make your mind calm"
medium,"in the middle between a larger and smaller size, amount, length, temperature, etc."
meet,to be in the same place as somebody by chance and talk to them
meeting,an occasion when people come together to discuss or decide something
melody,"a tune, especially the main tune in a piece of music written for several instruments or voices"
melt,to become or make something become liquid as a result of heating
member,"a person, an animal or a plant that belongs to a particular group"
membership,"the state of being a member of a group, a club, an organization, etc."
memo,an official note from one person to another in the same organization
memoir,"an account written by somebody, especially somebody famous, about their life and experiences"
memorable,"worth remembering or easy to remember, especially because of being special or unusual"
memorial,"a statue, stone, etc. that is built in order to remind people of an important past event or of a famous person who has died"
memory,your ability to remember things
mental,connected with or happening in the mind; involving the process of thinking
mention,an act of referring to somebody/something in speech or writing
mentor,an experienced person who advises and helps somebody with less experience over a period of time
menu,a list of the food that is available at a restaurant or to be served at a meal
merchant,"a person who buys and sells goods in large quantities, especially one who imports and exports goods"
mercy,a kind or forgiving attitude towards somebody that you have the power to harm or right to punish
mere,"used when you want to emphasize how small, unimportant, etc. somebody/something is"
merely,used meaning ‘only’ or ‘simply’ to emphasize a fact or something that you are saying
merge,to combine or make two or more things combine to form a single thing
merger,the act of joining two or more organizations or businesses into one
merit,the quality of being good and of deserving praise or reward
mess,a dirty or untidy state
message,"a written or spoken piece of information, etc. that you send to somebody or leave for somebody when you cannot speak to them yourself"
metal,"a type of solid mineral substance that is usually hard and shiny and that heat and electricity can travel through, for example tin, iron and gold"
metaphor,"a word or phrase used to describe somebody/something else, in a way that is different from its normal use, in order to show that the two things have the same qualities and to make the description more powerful, for example She has a heart of stone; the use of such words and phrases"
method,a particular way of doing something
methodology,a set of methods and principles used to perform a particular activity
metre,a unit for measuring length; a hundred centimetres
middle,"in a position in the middle of an object, group of objects, people, etc.; between the beginning and the end of something"
midnight,12 o’clock at night
midst,the middle part of something
might,used when showing that something is or was possible
migration,the movement every year of large numbers of birds or animals from one place to another
mild,not severe or strong
mile,a unit for measuring distance equal to 1 609 metres or 1 760 yards
militant,"using, or willing to use, force or strong pressure to achieve your aims, especially to achieve social or political change"
military,connected with soldiers or the armed forces
militia,a group of people who are not professional soldiers but who have had military training and can act as an army
milk,"the white liquid produced by cows, goats and some other animals as food for their young and used as a drink by humans"
mill,a building fitted with equipment for grinding grain into flour; a machine for grinding grain
million,1 000 000
mind,"the part of a person that makes them able to be aware of things, to think and to feel"
mine,"a deep hole or holes under the ground where minerals such as coal, gold, etc. are dug"
miner,"a person who works in a mine taking out coal, gold, diamonds, etc."
mineral,"a substance that is naturally present in the earth and is not formed from animal or vegetable matter, for example gold and salt. Some minerals are also present in food and drink and in the human body and are essential for good health."
minimal,very small in size or amount; as small as possible
minimize,"to reduce something, especially something bad, to the lowest possible level"
minimum,the smallest that is possible or allowed; extremely small
mining,the process of getting coal and other minerals from under the ground; the industry involved in this
minister,a senior member of the government who is in charge of a government department or a branch of one
ministry,a government department that has a particular area of responsibility
minor,"not very large, important or serious"
minority,the smaller part of a group; less than half of the people or things in a large group
minute,extremely small
miracle,an act or event that does not follow the laws of nature and is believed to be caused by God
mirror,"a piece of special flat glass that reflects images, so that you can see yourself when you look in it"
miserable,very unhappy or uncomfortable
misery,great physical or mental pain
misleading,giving the wrong idea or impression and making you believe something that is not true
miss,to be or arrive too late for something
missile,a weapon that is sent through the air and that explodes when it hits the thing that it is aimed at
missing,"that cannot be found or that is not in its usual place; that has been removed, lost or destroyed"
mission,that cannot exist or be done; not possible
mistake,"an action or an opinion that is not correct, or that produces a result that you did not want"
mix,a combination of different people or things
mixed,consisting of different qualities or elements
mixture,a combination of different things
mob,"a large crowd of people, especially one that may become violent or cause trouble"
mobile,"connected with mobile phones, tablets, etc."
mobility,"the ability to move easily from one place, social class or job to another"
mobilize,to work together in order to achieve a particular aim; to organize a group of people to do this
mode,a particular way of doing something; a particular type of something
model,"a copy of something, usually smaller than the original object"
moderate,"that is neither very good, large, hot, etc. nor very bad, small, cold, etc."
modern,of the present time or recent times
modest,"not very large, expensive, important, etc."
modification,the act or process of changing something in order to improve it or make it more acceptable; a change that is made
modify,"to change something slightly, especially in order to make it more suitable for a particular purpose"
moment,a very short period of time
momentum,the ability to keep increasing or developing
Monday,"the day of the week after Sunday and before Tuesday, the first day of the working week"
money,"what you earn by working or selling things, and use to buy things"
monitor,a screen that shows information from a computer; a television screen used to show particular kinds of information
monk,a member of a religious group of men who often live apart from other people in a monastery and who do not marry or have personal possessions
monkey,"an animal with a long tail, that climbs trees and lives in hot countries. There are several types of monkey and they are related to apes and humans."
monopoly,the complete control of trade in particular goods or the supply of a particular service; a type of goods or a service that is controlled in this way
monster,"(in stories) an imaginary creature that is very large, ugly and frightening"
month,"any of the twelve periods of time into which the year is divided, for example May or June"
monthly,happening once a month or every month
monument,"a building, column, statue, etc. built to remind people of a famous person or event"
mood,the way you are feeling at a particular time
moon,the round object that moves around the earth once every 27½ days and shines at night by light reflected from the sun
moral,connected with principles of right and wrong behaviour
morality,principles relating to right and wrong or good and bad behaviour
more,used to form the comparative of most adjectives and adverbs with two or more syllables
moreover,used to introduce some new information that adds to or supports what you have said previously
morning,the early part of the day from the time when people wake up until 12 o'clock in the middle of the day or before lunch
mortgage,"a legal agreement by which a bank or similar organization lends you money to buy a house, etc., and you pay the money back over a particular number of years; the sum of money that you borrow"
mosque,a building where Muslims go to worship (= praise God)
most,used to form the superlative of most adjectives and adverbs of two or more syllables
mostly,mainly; generally
mother,a female parent of a child or animal; a person who is acting as a mother to a child
motion,the act or process of moving or the way something moves
motivate,to be the reason why somebody does something or behaves in a particular way
motivation,the reason why somebody does something or behaves in a particular way
motive,a reason for doing something
motor,having an engine; using the power of an engine
motorcycle,"a road vehicle with two wheels, driven by an engine, with one seat for the driver and often a seat for a passenger behind the driver"
motorist,a person driving a car
mount,to organize and begin something
mountain,"a very high hill, often with rocks near the top"
mouse,"a small animal that is covered in fur and has a long thin tail. Mice live in fields, in people’s houses or where food is stored."
mouth,"the opening in the face used for speaking, eating, etc.; the area inside the head behind this opening"
move,a change of place or position
movement,an act of moving the body or part of the body
movie,"a series of moving pictures recorded with sound that tells a story, watched at a movie theater or on a television or other device"
moving,"causing strong, often sad, feelings about somebody/something"
much,to a great degree
mud,wet earth that is soft and sticky
multiple,many in number; involving many different people or things
multiply,to add a number to itself a particular number of times
mum,a mother
municipal,"connected with or belonging to a town, city or district that has its own local government"
murder,the crime of killing somebody deliberately
muscle,a piece of body tissue that you make tight and relax in order to move a particular part of the body; the tissue that forms the muscles of the body
museum,"a building in which objects of artistic, cultural, historical or scientific interest are kept and shown to the public"
music,sounds that are arranged in a way that is pleasant or exciting to listen to. People sing music or play it on instruments.
musical,connected with music; containing music
musician,"a person who plays a musical instrument or writes music, especially as a job"
must,used to say that something is necessary or very important (sometimes involving a rule or a law)
mutual,"used to describe feelings that two or more people have for each other equally, or actions that affect two or more people equally"
my,of or belonging to the speaker or writer
myself,used when the speaker or writer is also the person affected by an action
mysterious,difficult to understand or explain; strange
mystery,something that is difficult to understand or to explain
myth,"a story from ancient times, especially one that was told to explain natural events or to describe the early history of a people; this type of story"
nail,the thin hard layer covering the outer tip of the fingers or toes
naked,not wearing any clothes
name,"a word or words that a particular person, animal, place or thing is known by"
namely,used to introduce more exact and detailed information about something that you have just mentioned
narrative,describing events or telling a story
narrow,"measuring a short distance from one side to the other, especially in relation to length"
nasty,very bad or unpleasant
nation,"a country considered as a group of people with the same language, culture and history, who live in a particular area under one government"
national,connected with a particular nation; shared by a whole nation
nationwide,happening or existing in all parts of a particular country
native,connected with the place where you were born and lived for the first years of your life
natural,existing in nature; not made or caused by humans
naturally,in a way that you would expect
nature,"all the plants, animals and things that exist in the universe that are not made by people"
naval,connected with the navy of a country
navigation,the skill or the process of planning a route for a ship or other vehicle and taking it there
near,a short distance away
nearby,near in position; not far away
nearly,almost; not quite; not completely
neat,tidy and in order; carefully done or arranged
necessarily,used to say that something cannot be avoided
necessary,that is needed for a purpose or a reason
necessity,the fact that something must happen or be done; the need for something
neck,the part of the body between the head and the shoulders
need,a situation when something is necessary or must be done
needle,"a small thin piece of steel that you use for sewing, with a point at one end and a hole for the thread at the other"
negative,bad or harmful
neglect,the fact of not giving enough care or attention to something/somebody; the state of not receiving enough care or attention
negotiate,to try to reach an agreement by formal discussion
negotiation,formal discussion between people who are trying to reach an agreement
neighbour,a person who lives next to you or near you
neighbourhood,a district or an area of a town; the people who live there
neighbouring,located or living near or next to a place or person
neither,used to show that a negative statement is also true of somebody/something else
nerve,"any of the long fibres that carry messages between the brain and parts of the body, enabling you to move, feel pain, etc."
nervous,anxious about something or afraid of something
nest,a hollow place or structure that a bird makes or chooses for laying its eggs in and sheltering its young
net,a net amount of money is the amount that remains when nothing more is to be taken away
network,"a complicated system of roads, lines, tubes, nerves, etc. that are connected to each other and operate together"
neutral,"not supporting or helping either side in a disagreement, competition, etc."
never,not at any time; not on any occasion
nevertheless,despite something that you have just mentioned
new,"not existing before; recently made, invented, introduced, etc."
newly,recently
news,new information about something that has happened recently
newsletter,a report containing news of the activities of a club or organization that is sent regularly to all its members
newspaper,"a set of large printed sheets of paper, or a website, containing news, articles, advertisements, etc. and published every day or every week; the organization responsible for producing this"
next,"coming straight after somebody/something in time, order or space"
nice,pleasant or attractive
niche,"a comfortable or suitable role, job, way of life, etc."
nine,9
ninety,90
night,"the time between one day and the next when it is dark, when people usually sleep"
nightmare,a dream that is very frightening or unpleasant
no,not one; not any; not a
noble,"having or showing fine personal qualities that people admire, such as courage, honesty and care for others"
nobody,not anyone; no person
nod,"if you nod, nod your head or your head nods, you move your head up and down to show agreement, understanding, etc."
noise,"a sound, especially when it is loud, unpleasant or frightening"
noisy,making a lot of noise
nominate,"to formally suggest that somebody/something should be chosen for an important role, prize, position, etc."
nomination,"the act of suggesting or choosing somebody as a candidate in an election, or for a job or an award; the fact of being suggested for this"
nominee,"a person who has been formally suggested for a job, a prize, etc."
non-profit,without the aim of making a profit
none,not one of a group of people or things; not any
nonetheless,despite this fact
nonsense,"ideas, statements or beliefs that you think are silly or not true"
noon,12 o’clock in the middle of the day
norm,a situation or a pattern of behaviour that is usual or expected
normal,"typical, usual or ordinary; what you would expect"
normally,usually; in normal circumstances
north,in or towards the north
northern,located in the north or facing north; connected with or typical of the north part of the world or a region
nose,"the part of the face that sticks out above the mouth, used for breathing and smelling things"
not,"used with be, do or have to form the negative of verbs; used to form the negative of modal verbs like can or must"
notable,deserving to be noticed or to receive attention; important
notably,used for giving a good or the most important example of something
note,a short piece of writing to help you remember something
notebook,a small book of plain paper for writing notes in
nothing,not anything; no single thing
notice,"a sheet of paper giving written or printed information, usually put in a public place"
notify,to formally or officially tell somebody about something
notion,"an idea, a belief or an understanding of something"
notorious,well known for being bad
novel,"different from anything known before; new, interesting and often seeming slightly strange"
novelist,a person who writes novels
November,"the 11th month of the year, between October and December"
now,(at) the present time
nowadays,"at the present time, in contrast with the past"
nowhere,not in or to any place
nuclear,"using, producing or resulting from nuclear energy"
number,a word or symbol that represents an amount or a quantity
numerous,existing in large numbers
nurse,"a person whose job is to take care of sick or injured people, usually in a hospital"
nursery,a place where young children are cared for while their parents are at work; a day nursery or nursery school
nursing,the job or skill of caring for people who are sick or injured
nut,a small hard fruit with a very hard shell that grows on some trees
nutrition,the process by which living things receive the food necessary for them to grow and be healthy
o'clock,"used with the numbers 1 to 12 when telling the time, to mean an exact hour"
obesity,"the quality or fact of being very fat, in a way that is not healthy"
obey,to do what you are told or expected to do
object,"a thing that can be seen and touched, but is not alive"
objection,a reason why you do not like or are opposed to something; a statement about this
objective,not influenced by personal feelings or opinions; considering only facts
obligation,"the state of being forced to do something because it is your duty, or because of a law, etc."
oblige,"to force somebody to do something, by law, because it is a duty, etc."
observation,"the act of watching somebody/something carefully for a period of time, especially to learn something"
observe,to see or notice somebody/something
observer,a person who watches somebody/something
obsess,"to completely fill your mind so that you cannot think of anything else, in a way that is not reasonable or normal"
obsession,the state in which a person’s mind is completely filled with thoughts of one particular thing or person in a way that is not reasonable or normal
obstacle,"a situation, an event, etc. that makes it difficult for you to do or achieve something"
obtain,"to get something, especially by making an effort"
obvious,easy to see or understand
obviously,used when giving information that you expect other people to know already or agree with
occasion,a particular time when something happens
occasional,happening or done sometimes but not often
occasionally,sometimes but not often
occupation,a job or profession
occupy,"to fill or use a space, an area or an amount of time"
occur,to happen
occurrence,something that happens or exists
ocean,the mass of salt water that covers most of the earth’s surface
October,"the 10th month of the year, between September and November"
odd,strange or unusual
odds,the degree to which something is likely to happen
of,belonging to somebody; relating to somebody
off,used to say that something has been removed or become separated
offence,an illegal act
offend,to make somebody feel upset because of something you say or do that is rude or embarrassing
offender,a person who commits a crime
offensive,rude in a way that causes somebody to feel upset or annoyed because it shows a lack of respect
offer,an act of saying that you are willing to do something for somebody or give something to somebody
offering,"something that is produced for other people to use, watch, enjoy, etc."
office,"a room, set of rooms or building where people work, usually sitting at desks"
officer,a person who is in a position of authority in the armed forces
official,"agreed to, said, done, etc. by somebody who is in a position of authority"
offspring,a child of a particular person or couple
often,many times
oh,"used when you are reacting to something that has been said, especially if you did not know it before"
oil,a thick liquid that is found in rock underground
OK,safe and well; in a calm or happy state
old,of a particular age
old-fashioned,not modern; no longer fashionable
on,on somebody’s body; being worn
once,on one occasion only; one time
one,the number 1
ongoing,continuing to exist or develop
onion,"a round vegetable with many layers inside each other and a brown, red or white skin. Onions have a strong smell and taste."
online,available on or done using the internet or other computer network
only,used to say that no other or others of the same group exist or are there
onto,used with verbs to express movement on or to a particular place or position
open,allowing things or people to go through; not closed or blocked
opening,a space or hole that somebody/something can pass through
openly,"without hiding any feelings, opinions or information"
opera,a dramatic work in which all or most of the words are sung to music; works of this type as an art form or entertainment
operate,to work in a particular way
operation,the process of cutting open a part of a person’s body in order to remove or repair a damaged part
operational,"connected with the way in which a business, machine, system, etc. works"
operator,a person who operates equipment or a machine
opinion,"your feelings or thoughts about somebody/something, rather than a fact"
opponent,"a person that you are playing or fighting against in a game, competition, argument, etc."
opportunity,a time when a particular situation makes it possible to do or achieve something
oppose,"to disagree strongly with somebody’s plan, policy, etc. and try to change it or prevent it from succeeding"
opposed,disagreeing strongly with something and trying to stop it
opposite,on the other side of a particular area from somebody/something and usually facing them
opposition,"the act of strongly disagreeing with somebody/something, especially with the aim of preventing something from happening"
opt,to choose to take or not to take a particular course of action
optical,connected with the sense of sight or the relationship between light and sight
optimism,a feeling that good things will happen and that something will be successful
optimistic,expecting good things to happen or something to be successful; showing this feeling
option,something that you can choose to have or do; the freedom to choose what you do
or,used to introduce another possibility
oral,spoken rather than written
orange,between red and yellow in colour
orchestra,"a large group of people who play various musical instruments together, led by a conductor"
order,the way in which people or things are placed or arranged in relation to each other
ordinary,not unusual or different in any way
organ,"a part of the body that has a particular purpose, such as the heart or the brain; part of a plant with a particular purpose"
organic,produced or practised without using artificial chemicals
organization,"a group of people who form a business, club, etc. together in order to achieve a particular aim"
organizational,connected with the way in which the different parts of something are arranged; connected with an organization
organize,to make all the arrangements for something to happen or be provided
organized,involving large numbers of people who work together to do something in a way that has been carefully planned
organizer,a person who makes the arrangements for something
orientation,a person’s basic beliefs or feelings about a particular subject
origin,the point from which something starts; the cause of something
original,"existing at the beginning of a particular period, process or activity"
originally,"used to describe the situation that existed at the beginning of a particular period or activity, especially before something was changed"
originate,to happen or appear for the first time in a particular place or situation
other,used to refer to people or things that are additional or different to people or things that have been mentioned or are known about
otherwise,used to state what the result would be if something did not happen or if the situation were different
ought,used to say what is the right thing to do
our,belonging to us; connected with us
ours,the one or ones that belong to us
ourselves,the reflexive form of we; used when you and another person or other people together cause and are affected by an action
out,away from the inside of a place or thing
outbreak,"the sudden start of something unpleasant, especially violence or a disease"
outcome,the result or effect of an action or event
outdoor,"used, happening or located outside rather than in a building"
outdoors,"outside, rather than in a building"
outer,on the outside of something
outfit,"a set of clothes that you wear together, especially for a particular occasion or purpose"
outing,"a trip that you go on for pleasure or education, usually with a group of people and lasting no more than one day"
outlet,a shop or an organization that sells goods made by a particular company or of a particular type
outline,a description of the main facts or points involved in something
outlook,"the attitude to life and the world of a particular person, group or culture"
output,"the amount of something that a person, a machine or an organization produces"
outrage,a strong feeling of shock and anger
outside,"of, on or facing the outer side"
outsider,"a person who is not accepted as a member of a society, group, etc."
outstanding,extremely good; excellent
oven,"the part of a cooker that is like a box with a door on the front, in which food is cooked or heated"
over,"across a street, an open space, etc."
overall,including all the things or people that are involved in a particular situation; general
overcome,to succeed in dealing with or controlling a problem that has been preventing you from achieving something
overlook,to fail to see or notice something
overly,too; very
overnight,during or for the night
overseas,"connected with foreign countries, especially those separated from your country by the sea or ocean"
oversee,to watch somebody/something and make sure that a job or an activity is done correctly
overturn,"if something overturns, or if somebody overturns it, it turns into a position in which the top of it is where the bottom of it normally is or on its side"
overwhelm,to have such a strong emotional effect on somebody that it is difficult for them to resist or know how to react
overwhelming,very great or very strong; so powerful that you cannot resist it or decide how to react
owe,to have to pay somebody for something that you have already received or return money that you have borrowed
own,used to emphasize that something belongs to or is connected with somebody
owner,a person who owns something
ownership,the fact of owning something
oxygen,"a chemical element. Oxygen is a gas that is present in air and water and is necessary for people, animals and plants to live."
pace,"the speed at which somebody/something walks, runs or moves"
pack,"a container, usually made of paper, that holds a number of the same thing or an amount of something, ready to be sold"
package,"something that is wrapped in paper or put into a thick envelope so that it can be sent by mail, carried easily, or given as a present"
packet,a small container made of paper or card in which goods are packed for selling
pad,"a thick piece of soft material that is used, for example, for cleaning or protecting something or for holding liquid"
page,"one side or both sides of a sheet of paper in a book, magazine, etc."
pain,the feelings that you have in your body when you have been hurt or when you are ill
painful,causing you pain
paint,a liquid that is put on surfaces to give them a particular colour; a layer of this liquid when it has dried on a surface
painter,"a person whose job is painting buildings, walls, etc."
painting,a picture that has been painted
pair,"two things of the same type, especially when they are used or worn together"
palace,"the official home of a king, queen, president, etc."
pale,"having skin that is very light in colour; having skin that has less colour than usual because of illness, a strong emotion, etc."
palm,"a straight tree with a mass of long leaves at the top, growing in tropical countries. There are several types of palm tree, some of which produce fruit."
panel,"a square or rectangular piece of wood, glass or metal that forms part of a larger surface such as a door or wall"
panic,a sudden feeling of great fear that cannot be controlled and prevents you from thinking clearly
pants,underpants or knickers
paper,the thin material that you write and draw on and that is also used for wrapping and packing things
parade,"a public celebration of a special day or event, usually with bands in the streets and decorated vehicles"
paragraph,"a section of a piece of writing, usually consisting of several sentences dealing with a single subject. The first sentence of a paragraph starts on a new line."
parallel,two or more lines that are parallel to each other are the same distance apart at every point
parameter,something that decides or limits the way in which something can be done
parent,a person’s father or mother
parental,connected with a parent or parents
parish,an area that has its own church and that a priest is responsible for
park,"an area of public land in a town or a city where people go to walk, play and relax"
parking,the act of stopping a vehicle at a place and leaving it there for a period of time
parliament,the group of people who are elected to make and change the laws of a country
parliamentary,connected with a parliament; having a parliament
part,some but not all of a thing
part-time,for part of the day or week in which people work
partial,not complete or whole
partially,partly; not completely
participant,a person who is taking part in an activity or event
participate,to take part in or become involved in an activity
participation,the act of taking part in an activity or event
particular,"used to emphasize that you are referring to one individual person, thing or type of thing and not others"
particularly,especially; more than usual or more than others
partly,to some extent; not completely
partner,"a person that you are doing an activity with, such as dancing or playing a game"
partnership,the state of being a partner in business
party,"a social occasion, often in a person’s home, at which people eat, drink, talk, dance and enjoy themselves"
pass,"an official document or ticket that shows that you have the right to enter or leave a place, to travel on a bus or train, etc."
passage,a long narrow area with walls on either side that connects one room or place with another
passenger,"a person who is travelling in a car, bus, train, plane or ship and who is not driving it or working on it"
passing,the process of time going by
passion,"a very strong feeling of love, hate, anger, enthusiasm, etc."
passionate,"having or showing strong feelings of sexual love or of anger, etc."
passive,accepting what happens or what people do without trying to change anything or oppose them
passport,"an official document that identifies you as a citizen of a particular country, and that you may have to show when you enter or leave a country"
password,"a series of letters, numbers, etc. that you must type into a computer or computer system in order to be able to use it"
past,gone by in time
pastor,"a minister in charge of a Christian church or group, especially in some Nonconformist churches"
patch,"a small area of something, especially one which is different from the area around it"
patent,"an official right to be the only person to make, use or sell a product or an invention; a document that proves this"
path,a way or track that is built or is made by the action of people walking
pathway,a track that serves as a path
patience,the ability to stay calm and accept a delay or something annoying without complaining
patient,able to wait for a long time or accept annoying behaviour or difficulties without becoming angry
patrol,"the act of going to different parts of a building, an area, etc. to make sure that there is no trouble or crime"
patron,a person who gives money and support to artists and writers
pattern,the regular way in which something happens or is done
pause,a period of time during which somebody stops talking or stops what they are doing
pay,the money that somebody gets for doing regular work
